framework,title,speaker,speech_file,brief_summary
Detective Story,I stake my life,Leon Trotsky,the-penguin-book-of-modern-speeches/speeches/051_i-stake-my-life.md,Trotsky dismisses moderate socialists as historical relics in defense of Bolshevik revolutionary victory.
Detective Story,Socialism,Keir Hardie,the-penguin-book-of-modern-speeches/speeches/003_socialism.md,Hardie argues that growing wealth inequality and capitalist exploitation necessitate socialist economic reorganization.
Detective Story,I have come bearing an olive branch,Yasser Arafat,50-speeches-that-made-the-modern-world/speeches/029_i-have-come-bearing-an-olive-branch-and-a-freedom-fighter-s-gun.md,Arafat traces the historical roots of Palestinian displacement through Zionist colonialism and imperialism.
Detective Story,The cult of the individual,Nikita Khrushchev,50-speeches-that-made-the-modern-world/speeches/017_the-cult-of-the-individual-and-its-harmful-consequences.md,Khrushchev systematically documents Stalin's tyranny and abuse of power to justify reform.
Crossroads,The motion of destiny,Kwame Nkrumah,the-penguin-book-of-modern-speeches/speeches/085_the-motion-of-destiny.md,Powerful claim for African independence contrasting colonial oppression with vision of free self-governance.
Crossroads,Our march to freedom is irreversible,Nelson Mandela,the-penguin-book-of-modern-speeches/speeches/146_our-march-to-freedom-is-irreversible.md,Vision contrasting apartheid's destructiveness with democratic future demanding mass action and determination.
Crossroads,A more perfect union,Barack Obama,the-penguin-book-of-modern-speeches/speeches/169_a-more-perfect-union.md,Race speech addressing racial divisions as choice between unity or continued polarization to solve common challenges.
Crossroads,The Great Society,Lyndon B. Johnson,the-penguin-book-of-modern-speeches/speeches/109_the-great-society.md,Johnson contrasts abundance and current problems with a vision of a transformed Great Society.
Crossroads,My country today stands at the start of a journey,Aung San Suu Kyi,50-speeches-that-made-the-modern-world/speeches/045_my-country-today-stands-at-the-start-of-a-journey.md,Suu Kyi contrasts Burma's authoritarian past with democratic future and calls for international support.
Crossroads,The noble mansion of free India,Jawaharlal Nehru,the-penguin-book-of-modern-speeches/speeches/079_the-noble-mansion-of-free-india.md,Vision of free India contrasted with colonial past; calls for national unity and service.
Crossroads,Suffragist Elizabeth Cady Stanton Pleads for Women's Rights,Elizabeth Cady Stanton,lend-me-your-ears-great-speeches-in-history/speeches/140_suffragist-elizabeth-cady-stanton-pleads-for-women-s-rights.md,Vision of women's suffrage as necessary to prevent chaos and usher in an era of peace.
