book_slug,book_title,speech_index,speech_title,speaker,section,source_file,output_file
50-speeches-that-made-the-modern-world,50 Speeches That Made the Modern World,1,The laws that men have made,Emmeline Pankhurst,,data/50 Speeches That Made the Modern World- Famous Speeches from -- Andrew Burnet -- 2016 -- John Murray Press -- 8a9187638b9002e32c40fc7e2ecddeef -- Anna’s Archive.md,50-speeches-that-made-the-modern-world/speeches/001_the-laws-that-men-have-made.md
50-speeches-that-made-the-modern-world,50 Speeches That Made the Modern World,2,"To the workers, everything; to the toilers, everything!",Vladimir Ilich Lenin,,data/50 Speeches That Made the Modern World- Famous Speeches from -- Andrew Burnet -- 2016 -- John Murray Press -- 8a9187638b9002e32c40fc7e2ecddeef -- Anna’s Archive.md,50-speeches-that-made-the-modern-world/speeches/002_to-the-workers-everything-to-the-toilers-everything.md
50-speeches-that-made-the-modern-world,50 Speeches That Made the Modern World,3,Why do we want to offer this non-cooperation?,Mahatma Gandhi,,data/50 Speeches That Made the Modern World- Famous Speeches from -- Andrew Burnet -- 2016 -- John Murray Press -- 8a9187638b9002e32c40fc7e2ecddeef -- Anna’s Archive.md,50-speeches-that-made-the-modern-world/speeches/003_why-do-we-want-to-offer-this-non-cooperation.md
50-speeches-that-made-the-modern-world,50 Speeches That Made the Modern World,4,We must win the peace,Benito Mussolini,,data/50 Speeches That Made the Modern World- Famous Speeches from -- Andrew Burnet -- 2016 -- John Murray Press -- 8a9187638b9002e32c40fc7e2ecddeef -- Anna’s Archive.md,50-speeches-that-made-the-modern-world/speeches/004_we-must-win-the-peace.md
50-speeches-that-made-the-modern-world,50 Speeches That Made the Modern World,5,The only thing we have to fear is fear itself,Franklin D Roosevelt,,data/50 Speeches That Made the Modern World- Famous Speeches from -- Andrew Burnet -- 2016 -- John Murray Press -- 8a9187638b9002e32c40fc7e2ecddeef -- Anna’s Archive.md,50-speeches-that-made-the-modern-world/speeches/005_the-only-thing-we-have-to-fear-is-fear-itself.md
50-speeches-that-made-the-modern-world,50 Speeches That Made the Modern World,6,They shall not pass!,La Pasionaria,,data/50 Speeches That Made the Modern World- Famous Speeches from -- Andrew Burnet -- 2016 -- John Murray Press -- 8a9187638b9002e32c40fc7e2ecddeef -- Anna’s Archive.md,50-speeches-that-made-the-modern-world/speeches/006_they-shall-not-pass.md
50-speeches-that-made-the-modern-world,50 Speeches That Made the Modern World,7,I lay down my burden,,,data/50 Speeches That Made the Modern World- Famous Speeches from -- Andrew Burnet -- 2016 -- John Murray Press -- 8a9187638b9002e32c40fc7e2ecddeef -- Anna’s Archive.md,50-speeches-that-made-the-modern-world/speeches/007_i-lay-down-my-burden.md
50-speeches-that-made-the-modern-world,50 Speeches That Made the Modern World,8,This country is now at war with Germany,Neville Chamberlain,,data/50 Speeches That Made the Modern World- Famous Speeches from -- Andrew Burnet -- 2016 -- John Murray Press -- 8a9187638b9002e32c40fc7e2ecddeef -- Anna’s Archive.md,50-speeches-that-made-the-modern-world/speeches/008_this-country-is-now-at-war-with-germany.md
50-speeches-that-made-the-modern-world,50 Speeches That Made the Modern World,9,We shall fight on the beaches,Winston Churchill,,data/50 Speeches That Made the Modern World- Famous Speeches from -- Andrew Burnet -- 2016 -- John Murray Press -- 8a9187638b9002e32c40fc7e2ecddeef -- Anna’s Archive.md,50-speeches-that-made-the-modern-world/speeches/009_we-shall-fight-on-the-beaches.md
50-speeches-that-made-the-modern-world,50 Speeches That Made the Modern World,10,The issue is one of life and death for the Soviet state,,,data/50 Speeches That Made the Modern World- Famous Speeches from -- Andrew Burnet -- 2016 -- John Murray Press -- 8a9187638b9002e32c40fc7e2ecddeef -- Anna’s Archive.md,50-speeches-that-made-the-modern-world/speeches/010_the-issue-is-one-of-life-and-death-for-the-soviet-state.md
