book_slug,book_title,speech_index,speech_title,speaker,section,source_file,output_file
lend-me-your-ears-great-speeches-in-history,Lend Me Your Ears: Great Speeches in History,1,Pericles Extols the Glory That Is Greece at the Funeral of Its Fallen Sons,Pericles,MEMORIALS AND PATRIOTIC SPEECHES,"data/Lend Me Your Ears - Great Speeches in History -- ﻿William Safire -- Open Road Integrated Media, Inc_, [Scranton, Pennsylvania], -- Rosetta Books -- 9780393059311 -- e8c413e5b4a425ad0bc1fd4c87c7b7e3 -- Anna’s Archive.md",lend-me-your-ears-great-speeches-in-history/speeches/001_pericles-extols-the-glory-that-is-greece-at-the-funeral-of-its-fallen-sons.md
lend-me-your-ears-great-speeches-in-history,Lend Me Your Ears: Great Speeches in History,2,Roman Empress Theodora Refuses to Flee,Roman Empress Theodora,MEMORIALS AND PATRIOTIC SPEECHES,"data/Lend Me Your Ears - Great Speeches in History -- ﻿William Safire -- Open Road Integrated Media, Inc_, [Scranton, Pennsylvania], -- Rosetta Books -- 9780393059311 -- e8c413e5b4a425ad0bc1fd4c87c7b7e3 -- Anna’s Archive.md",lend-me-your-ears-great-speeches-in-history/speeches/002_roman-empress-theodora-refuses-to-flee.md
lend-me-your-ears-great-speeches-in-history,Lend Me Your Ears: Great Speeches in History,3,Founding Father Gouverneur Morris Defines National Greatness,Founding Father Gouverneur Morris,MEMORIALS AND PATRIOTIC SPEECHES,"data/Lend Me Your Ears - Great Speeches in History -- ﻿William Safire -- Open Road Integrated Media, Inc_, [Scranton, Pennsylvania], -- Rosetta Books -- 9780393059311 -- e8c413e5b4a425ad0bc1fd4c87c7b7e3 -- Anna’s Archive.md",lend-me-your-ears-great-speeches-in-history/speeches/003_founding-father-gouverneur-morris-defines-national-greatness.md
lend-me-your-ears-great-speeches-in-history,Lend Me Your Ears: Great Speeches in History,4,Daniel Webster Speaks at the Dedication of the Bunker Hill Monument,Daniel Webster,MEMORIALS AND PATRIOTIC SPEECHES,"data/Lend Me Your Ears - Great Speeches in History -- ﻿William Safire -- Open Road Integrated Media, Inc_, [Scranton, Pennsylvania], -- Rosetta Books -- 9780393059311 -- e8c413e5b4a425ad0bc1fd4c87c7b7e3 -- Anna’s Archive.md",lend-me-your-ears-great-speeches-in-history/speeches/004_daniel-webster-speaks-at-the-dedication-of-the-bunker-hill-monument.md
lend-me-your-ears-great-speeches-in-history,Lend Me Your Ears: Great Speeches in History,5,Lecturer Frances Wright Speaks on Independence Day,Lecturer Frances Wright,MEMORIALS AND PATRIOTIC SPEECHES,"data/Lend Me Your Ears - Great Speeches in History -- ﻿William Safire -- Open Road Integrated Media, Inc_, [Scranton, Pennsylvania], -- Rosetta Books -- 9780393059311 -- e8c413e5b4a425ad0bc1fd4c87c7b7e3 -- Anna’s Archive.md",lend-me-your-ears-great-speeches-in-history/speeches/005_lecturer-frances-wright-speaks-on-independence-day.md
lend-me-your-ears-great-speeches-in-history,Lend Me Your Ears: Great Speeches in History,6,Lincoln Rededicates the Union at Gettysburg,Lincoln,MEMORIALS AND PATRIOTIC SPEECHES,"data/Lend Me Your Ears - Great Speeches in History -- ﻿William Safire -- Open Road Integrated Media, Inc_, [Scranton, Pennsylvania], -- Rosetta Books -- 9780393059311 -- e8c413e5b4a425ad0bc1fd4c87c7b7e3 -- Anna’s Archive.md",lend-me-your-ears-great-speeches-in-history/speeches/006_lincoln-rededicates-the-union-at-gettysburg.md
lend-me-your-ears-great-speeches-in-history,Lend Me Your Ears: Great Speeches in History,7,Mark Twain Celebrates the Fourth of July,Mark Twain,MEMORIALS AND PATRIOTIC SPEECHES,"data/Lend Me Your Ears - Great Speeches in History -- ﻿William Safire -- Open Road Integrated Media, Inc_, [Scranton, Pennsylvania], -- Rosetta Books -- 9780393059311 -- e8c413e5b4a425ad0bc1fd4c87c7b7e3 -- Anna’s Archive.md",lend-me-your-ears-great-speeches-in-history/speeches/007_mark-twain-celebrates-the-fourth-of-july.md
lend-me-your-ears-great-speeches-in-history,Lend Me Your Ears: Great Speeches in History,8,President Calvin Coolidge Affirms His Faith in Massachusetts,President Calvin Coolidge,MEMORIALS AND PATRIOTIC SPEECHES,"data/Lend Me Your Ears - Great Speeches in History -- ﻿William Safire -- Open Road Integrated Media, Inc_, [Scranton, Pennsylvania], -- Rosetta Books -- 9780393059311 -- e8c413e5b4a425ad0bc1fd4c87c7b7e3 -- Anna’s Archive.md",lend-me-your-ears-great-speeches-in-history/speeches/008_president-calvin-coolidge-affirms-his-faith-in-massachusetts.md
lend-me-your-ears-great-speeches-in-history,Lend Me Your Ears: Great Speeches in History,9,Interior Secretary Harold Ickes Lashes Isolationists and Defeatists,Interior Secretary Harold Ickes,MEMORIALS AND PATRIOTIC SPEECHES,"data/Lend Me Your Ears - Great Speeches in History -- ﻿William Safire -- Open Road Integrated Media, Inc_, [Scranton, Pennsylvania], -- Rosetta Books -- 9780393059311 -- e8c413e5b4a425ad0bc1fd4c87c7b7e3 -- Anna’s Archive.md",lend-me-your-ears-great-speeches-in-history/speeches/009_interior-secretary-harold-ickes-lashes-isolationists-and-defeatists.md
lend-me-your-ears-great-speeches-in-history,Lend Me Your Ears: Great Speeches in History,10,Judge Learned Hand Evokes the Spirit of Liberty,Judge Learned Hand,MEMORIALS AND PATRIOTIC SPEECHES,"data/Lend Me Your Ears - Great Speeches in History -- ﻿William Safire -- Open Road Integrated Media, Inc_, [Scranton, Pennsylvania], -- Rosetta Books -- 9780393059311 -- e8c413e5b4a425ad0bc1fd4c87c7b7e3 -- Anna’s Archive.md",lend-me-your-ears-great-speeches-in-history/speeches/010_judge-learned-hand-evokes-the-spirit-of-liberty.md
lend-me-your-ears-great-speeches-in-history,Lend Me Your Ears: Great Speeches in History,11,Underground Fighter Menachem Begin Pledges His Group's Allegiance to the Newborn State of Israel,Underground Fighter Menachem Begin,MEMORIALS AND PATRIOTIC SPEECHES,"data/Lend Me Your Ears - Great Speeches in History -- ﻿William Safire -- Open Road Integrated Media, Inc_, [Scranton, Pennsylvania], -- Rosetta Books -- 9780393059311 -- e8c413e5b4a425ad0bc1fd4c87c7b7e3 -- Anna’s Archive.md",lend-me-your-ears-great-speeches-in-history/speeches/011_underground-fighter-menachem-begin-pledges-his-group-s-allegiance-to-the-newborn-state-of-israel.md
lend-me-your-ears-great-speeches-in-history,Lend Me Your Ears: Great Speeches in History,12,Democratic Candidate Adlai Stevenson Defines the Nature of Patriotism,Democratic Candidate Adlai Stevenson,MEMORIALS AND PATRIOTIC SPEECHES,"data/Lend Me Your Ears - Great Speeches in History -- ﻿William Safire -- Open Road Integrated Media, Inc_, [Scranton, Pennsylvania], -- Rosetta Books -- 9780393059311 -- e8c413e5b4a425ad0bc1fd4c87c7b7e3 -- Anna’s Archive.md",lend-me-your-ears-great-speeches-in-history/speeches/012_democratic-candidate-adlai-stevenson-defines-the-nature-of-patriotism.md
lend-me-your-ears-great-speeches-in-history,Lend Me Your Ears: Great Speeches in History,13,"General Douglas MacArthur Reminds West Point Cadets of Duty, Honor, Country",,MEMORIALS AND PATRIOTIC SPEECHES,"data/Lend Me Your Ears - Great Speeches in History -- ﻿William Safire -- Open Road Integrated Media, Inc_, [Scranton, Pennsylvania], -- Rosetta Books -- 9780393059311 -- e8c413e5b4a425ad0bc1fd4c87c7b7e3 -- Anna’s Archive.md",lend-me-your-ears-great-speeches-in-history/speeches/013_general-douglas-macarthur-reminds-west-point-cadets-of-duty-honor-country.md
lend-me-your-ears-great-speeches-in-history,Lend Me Your Ears: Great Speeches in History,14,Catiline the Conspirator Turns and Fights,Catiline the Conspirator,WAR AND REVOLUTION SPEECHES,"data/Lend Me Your Ears - Great Speeches in History -- ﻿William Safire -- Open Road Integrated Media, Inc_, [Scranton, Pennsylvania], -- Rosetta Books -- 9780393059311 -- e8c413e5b4a425ad0bc1fd4c87c7b7e3 -- Anna’s Archive.md",lend-me-your-ears-great-speeches-in-history/speeches/014_catiline-the-conspirator-turns-and-fights.md
lend-me-your-ears-great-speeches-in-history,Lend Me Your Ears: Great Speeches in History,15,Pope Urban II Launches the First Crusade,Pope Urban II,WAR AND REVOLUTION SPEECHES,"data/Lend Me Your Ears - Great Speeches in History -- ﻿William Safire -- Open Road Integrated Media, Inc_, [Scranton, Pennsylvania], -- Rosetta Books -- 9780393059311 -- e8c413e5b4a425ad0bc1fd4c87c7b7e3 -- Anna’s Archive.md",lend-me-your-ears-great-speeches-in-history/speeches/015_pope-urban-ii-launches-the-first-crusade.md
