book_slug,book_title,speech_index,speech_title,speaker,section,source_file,output_file
the-penguin-book-of-modern-speeches,The Penguin Book of Modern Speeches,1,The doctrine of the strenuous life,Theodore Roosevelt,,"data/The Penguin Book of Modern Speeches -- MacArthur, Brian; MacArthur, Brian -- Third revised edition, London, 2012 -- Penguin Books, Limited -- 9780141909165 -- 8ed199d54888113549a334d4090d283a -- Anna’s Archive.md",the-penguin-book-of-modern-speeches/speeches/001_the-doctrine-of-the-strenuous-life.md
the-penguin-book-of-modern-speeches,The Penguin Book of Modern Speeches,2,Methods of barbarism,Sir Henry Campbell-Bannerman,,"data/The Penguin Book of Modern Speeches -- MacArthur, Brian; MacArthur, Brian -- Third revised edition, London, 2012 -- Penguin Books, Limited -- 9780141909165 -- 8ed199d54888113549a334d4090d283a -- Anna’s Archive.md",the-penguin-book-of-modern-speeches/speeches/002_methods-of-barbarism.md
the-penguin-book-of-modern-speeches,The Penguin Book of Modern Speeches,3,Socialism,Keir Hardie,,"data/The Penguin Book of Modern Speeches -- MacArthur, Brian; MacArthur, Brian -- Third revised edition, London, 2012 -- Penguin Books, Limited -- 9780141909165 -- 8ed199d54888113549a334d4090d283a -- Anna’s Archive.md",the-penguin-book-of-modern-speeches/speeches/003_socialism.md
the-penguin-book-of-modern-speeches,The Penguin Book of Modern Speeches,4,I believe in a British Empire and I do not believe in a Little England,Joseph Chamberlain,,"data/The Penguin Book of Modern Speeches -- MacArthur, Brian; MacArthur, Brian -- Third revised edition, London, 2012 -- Penguin Books, Limited -- 9780141909165 -- 8ed199d54888113549a334d4090d283a -- Anna’s Archive.md",the-penguin-book-of-modern-speeches/speeches/004_i-believe-in-a-british-empire-and-i-do-not-believe-in-a-little-england.md
the-penguin-book-of-modern-speeches,The Penguin Book of Modern Speeches,5,I warn the Government,F. E. Smith (Lord Birkenhead),,"data/The Penguin Book of Modern Speeches -- MacArthur, Brian; MacArthur, Brian -- Third revised edition, London, 2012 -- Penguin Books, Limited -- 9780141909165 -- 8ed199d54888113549a334d4090d283a -- Anna’s Archive.md",the-penguin-book-of-modern-speeches/speeches/005_i-warn-the-government.md
the-penguin-book-of-modern-speeches,The Penguin Book of Modern Speeches,6,The men with the muck-rakes,Theodore Roosevelt,,"data/The Penguin Book of Modern Speeches -- MacArthur, Brian; MacArthur, Brian -- Third revised edition, London, 2012 -- Penguin Books, Limited -- 9780141909165 -- 8ed199d54888113549a334d4090d283a -- Anna’s Archive.md",the-penguin-book-of-modern-speeches/speeches/006_the-men-with-the-muck-rakes.md
the-penguin-book-of-modern-speeches,The Penguin Book of Modern Speeches,7,The plight of women,Emmeline Pankhurst,,"data/The Penguin Book of Modern Speeches -- MacArthur, Brian; MacArthur, Brian -- Third revised edition, London, 2012 -- Penguin Books, Limited -- 9780141909165 -- 8ed199d54888113549a334d4090d283a -- Anna’s Archive.md",the-penguin-book-of-modern-speeches/speeches/007_the-plight-of-women.md
the-penguin-book-of-modern-speeches,The Penguin Book of Modern Speeches,8,The People's Budget,"David Lloyd George London, 30 July 1909",,"data/The Penguin Book of Modern Speeches -- MacArthur, Brian; MacArthur, Brian -- Third revised edition, London, 2012 -- Penguin Books, Limited -- 9780141909165 -- 8ed199d54888113549a334d4090d283a -- Anna’s Archive.md",the-penguin-book-of-modern-speeches/speeches/008_the-people-s-budget.md
the-penguin-book-of-modern-speeches,The Penguin Book of Modern Speeches,9,We are in for rough weather,David Lloyd George,,"data/The Penguin Book of Modern Speeches -- MacArthur, Brian; MacArthur, Brian -- Third revised edition, London, 2012 -- Penguin Books, Limited -- 9780141909165 -- 8ed199d54888113549a334d4090d283a -- Anna’s Archive.md",the-penguin-book-of-modern-speeches/speeches/009_we-are-in-for-rough-weather.md
the-penguin-book-of-modern-speeches,The Penguin Book of Modern Speeches,10,The new nationalism,Theodore Roosevelt,,"data/The Penguin Book of Modern Speeches -- MacArthur, Brian; MacArthur, Brian -- Third revised edition, London, 2012 -- Penguin Books, Limited -- 9780141909165 -- 8ed199d54888113549a334d4090d283a -- Anna’s Archive.md",the-penguin-book-of-modern-speeches/speeches/010_the-new-nationalism.md
